,Description,ASIN,Product Description,Manufacturer
296,"   Care Instructions: Wipe with Damp Cloth    Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.    Handcrafted with care and made up of premium quality robust material    Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    
",B0BR1D4SL1," 
",Acefour Accessories Pvt. Ltd.
297,"   Care Instructions: Wipe with Damp Cloth    Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.    Handcrafted with care and made up of premium quality robust material    Padded anti-theft laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Pocket under flap and 2 mesh pocket inside main compartment with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    
",B0BR1C59R8," 
",Acefour Accessories Pvt. Ltd.
298,"   Large size and Lightweight : Laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort <br>    Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.; Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 50 cm X 37 cm X 26 cm <br>    We have used Soft Mash on the back side so that its keeps comfort in back. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily. <br>    Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo. <br>    Water Resistance Level: Water Resistant; Age Range Description: Adult; Pattern Name: Solid; Closure Type: Buckle; Color Name: Black <br>    
",: ‎ 1709,unknown,B09X5Y2CB2
299,"   Care Instructions: Wipe with Damp Cloth    Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.    Handcrafted with care and made up of premium quality robust material    Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    
",B0BR1D4SL1," 
",Acefour Accessories Pvt. Ltd.
300,"   Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend.    Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls    Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.    Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit.    Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only.    
",B07QL8633G," 
",AirCase
301,"   [Lightweight & Durable]:This girl travel backpack is made of durable and eco-friendly nylon, soft internal Polyester lining around compartments to protect your items. The Shoulder belt and back side made of honeycomb breathable material, ergonomic design ensures the dispersion of gravity of the backpack. <br>    [Practical & Founctional Backpack]: 30*21*44CM (11.8*8.26*17.3IN)The backpack has 2 main pockets, multi inner pockets, 2 side pockets.Can easily accomdate laptop of 15.6 inch and below. Convenient main pockets for books, iPad, charger, binders, books, clothes, ect.Two side pockets for water bottle and compact umbrella make your items organized. <br>    [Cable Jack Design]: With cable hole design, you can enjoy music or charing phone on the road, saving the trouble of holding your phone all the time, and also can ensure the property safety.; [Cartoon Figurature Print with Cute Pendent]:Cartoon idol figurature print is popular in young teens. This is a school backpack, travel backpack, laptop bag, conveniet and practical large capacity backpack, to free your hands with all your stuff in the bag. <br>    [Great Gift for Student]:A nice school gift for kids, combining the function of practical and function. Large capacity can meet most item storage need and the breathable shoulder pad is more comfortable for shoulder. Fashion design and durable material makes it a great backpack for girls,teens. <br>    Style Name: Travel Backpacks; Strap Type: Shoulder Strap; Special Features: Laptop Compartment <br>    
",B09XMGJZH8," 
 QualityProduct  ",PALAY
302,"   Ergonomically Designed : Spacious with Multiple Compartments & Pockets : Intuitive Access : Cushioned Back Panel & Shoulder Straps : Lightweight    Bartacked Load Points : Water Resistant Fabric : Heavy Duty Long Lasting Zippers    Outer material type: Polyester    Item Package Weight : 400.0 grams    
",B097KCLF5F," 
 Gear bags are designed for the quick commute as well for the long journey. These backpacks can be used as laptop bags, adventure bags and so on. Your favorite travel companion, the backpacks come with enough storage space to carry all your requirements.  ",Gear
303,"   Outer Material: Polyester, Color: Tur. Blue    Water resistant    Capacity: 23 liters; Dimensions: 33 cms x 15 cms x 47 cms (LxWxH)    Number of compartments: 2    Laptop Compatibility: Yes, Laptop Size: 15 inches    Warranty type: Manufacturer; 1 year    PACKER: Brand Concepts Ltd; IMPORTER: Brand Concepts Ltd    
",B07N8HPP97," 
",Brand Concepts Ltd
304,"   Ideal for a working professional travelling to work by bus, train, ola/uber/cab etc. Laptop compatibility & professional looking backpack    
",B09ZV9SLBJ," 
 Ideal for a working professional travelling to work by bus, train, ola/uber/cab etc. Laptop compatibility & professional looking backpack  ","VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
305,"   ✅DIMENSIONS: 31 Cm x 22 Cm x 45 Cm, CAPACITY: 32 Litres    ✅NUMBER OF COMPARTMENTS: 3 full size compartments & 2 side pockets, LAPTOP COMPARTMENT: Padded laptop compartment with elasticated strap lock, LAPTOP SIZE: 13 to 15.6 inches    ✅MATERIAL: Polyester, Water Resistant, COLOR: Navy Blue    ✅SPECIAL FEATURES: Ergonomic design, lightweight, padded breathable mesh back with adjustable straps, smooth & durable zippers, padded haul loop, 2 bottle/ umbrella easy access pockets    ✅CONSUMER: Suitable for men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks, WARRANTY: 12 Months, Make in India product    
",POLESTAR,unknown,: ‎ 13 March 2019
306,"   ? PREMIUM MATERIAL: Made from high quality, waterproof hard EVA material. Premium quality smooth zippers, pullers, buckles.;Special Features: Locking; Style Name: Modern<br>    ? ORGANISED DESIGN: This backpack has one roomy spaced compartment with built in soft padded sleeve to protect laptops upto 16 inch. Separate sleeve for tablet/ Ipad. Spacious enough to hold your clothings, folders, documents etc. Also includes organised pockets to hold electronic diary, power bank, pens. mobile etc. Soft handle for better comfort. Adjustable and padded shoulder straps make it comfortable during use.<br>    ? ANTI- THEFT DESIGN & CAPACITY: One hidden zipper pocket equips on the back to pack your money, cards, wallet. This invisible design increases the security of your belongings. Dimensions: 30 cms x 8 cms x 45 cms (LxWxH). Capacity: 11 Lit<br>    ? USB FEATURE & TSA LOCK : External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices. This backpack comes with a built-in TSA lock that gives the bag an added level of security. Helps deter thefts during travel.; ? TROLLEY STRAP : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling.; Age Range Description: Adult; Pattern Name: Solid; Theme: Sports<br>    Impact-resistant design. ID pouch, Mobile phone pouch. Zipper hidden pouch, Laptop slot, and Tablet slot. USB Charging slot on the outside. Shape-retaining construction. Water-resistant fabric. Premium leather zipper pulls. Top carry handle with leather grip. Air mesh back padding. Adjustable padded shoulder straps with metallic buckle and leather accents.<br>    
",B09ZYMT7V1," 
",Encon Impex Pvt Ltd
307,"   Care Instructions: Hand Wash Only    Made of Canvas look a like Premium Heathered PU coated Polyester Fabric With 35 Litres Capacity <br>    Casual Laptop Backpack with a color for everyone’s taste. Can fit all 15 inch laptops. <br>    Two Main compartments with a laptop sleeve , Two front compartment with an Pen-Pocket/organiser , Two side pockets with a bottle holding elastic , Padded Ergonomic Shoulder Straps and cushioned back. <br>    High Quality Nylon Threads and Polyester tapes , All YKK Zippers.; 1 Year warranty against all manufacturing defects. <br>    Style Name: Classic; Pattern Name: Solid; Age Range Description: Adult; Pocket Description: Utility Pocket <br>    
",B0B7FHWY4M," 
 Heathered and Soft Muted Colors created by blending yarns of different colors together, made of canvas lookalike polyester fabric. The high quality construction and the vivid color combinatios available make the STRABO STARK the perfect companion for all your carrying needs, be it the daily office run, a quick weekend getaway or a long haul flight, it’s sure to carry all that you need in your life while grabing attention from left right and centre.  ",STRABO
308,"   Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage    Right sized with sturdy stitching; Dimension: (28.2 cm x 14.1 cm x 42.2 cm); Warranty: 750 days international warranty    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)    Padded laptop compartment fits up to 14”, Back padding with Air mesh; Front access pocket for you to easily carry important small items with two bottle holders on the sides    
",B0BWNCV31F," 
",Acefour Accessories Pvt. Ltd.
309,"   CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Pink and Grey, Water resistant: Yes <br>    PADDED LAPTOP COMPARTMENT AND MAXED OUT STORAGE: Dimension: 29 x 14 x 41 cm, Capacity: 16L, Fits up to a 15.4” laptop <br>    MOST FEATURE RICH BACKPACK: Vegan leather trims, Padded shoulder straps, Easy length adjustment buckle & strap lock, Hidden expandable side water bottle pocket, Luggage sleeve. <br>    HIDDEN MAGNETIC POCKET: Snaps close and stores your phone/passport for quick access; MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI) <br>    Compartment Description: Up To 16 Inches; Pattern Name: Solid; Color Name: Modern Love; Lining Description: Polyester; Closure Type: Zipper; Warranty Description: 12 Months Warranty; Age Range Description: Adult <br>    
",Designed By Mokobara Lifestyle Private Limited," 
",: ‎ 13 January 2021
310,"   Care Instructions: Hand Wash Only    Key Features - Grey Colour Backpack for Men and Women for Stylish Office use as well as for Trendy College students. Huge compartment size that can fit upto a 15.6 inch Laptop with ease. There is a retro-reflective tape on the front of the bag which makes this backpack more conspicuous in the night. This is a safe backpack for you to walk in the night.    Anti Theft Design - This backpack by BUCKETLIST has anti theft design where zipper of the main pocket is hidden at the back. No thief, intruder or robber can find a way to open the backpack, making this totally theft proof. There are secret pockets on the shoulder strap and on the backside of the bag allowing us to keep travel documents, boarding pass, credit cards, mobile phone, earphones etc.    Charging On the Go - Now charge your phone on the go while travelling without the hassle of holding the bulky power bank in your pocket or in your hand. Simple Connect your Powerbank to the wire inside the Bag and leave it in the bag. When you want to charge your phone, just connect your phone charger to the bag and your phone will start charging. Note: We do not provide Power Bank with this Bag.    Water Repellent Material - This backpack is made of Water Repellent Material so now you can travel carefree without worrying about water splashes or rain.    External Dimension & Night Safety Backpack - Size : 18 (L)*33*(B)*45(H) cm. There are three noctilucent strips on the front of the bag. Noctilucent strips look fashion , also have practical use. When cycle or travel at night,the noticeable noctilucent strips improve your safty.    
",: ‎ anti theft bag,unknown,B0BMQPZ4V4
311,"   MATERIAL: Artistix Alpine USB charging backpack is Premium Oxford Water-Repellent Nylon Fabric with silky lining. The shoulder straps are nicely-padded design to ensure comfort while carrying A reliable laptop backpack for everyday use. Capacity: 32 Litres. Dimension : 48x32x18 cm<br> <br>    Pattern Name: Solid; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket; Style Name: Modern; Closure Type: Zipper; Warranty Description: 12 Months From The Date Of Purchase; Age Range Description: Adult; Compartment Description: Up To 17 Inches; Lining Description: Polyester; Special Features: Anti-Theft <br>    
",Durant International,unknown,: ‎ 12 January 2021
312,"   Care Instructions: Wipe with Damp Cloth    Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.    Handcrafted with care and made up of premium quality robust material    Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    
",B0BR1D4SL1," 
",Acefour Accessories Pvt. Ltd.
313,"   TRAVEL BACKPACK WITH USB CHARGING PORT:Built-in USB charging cable, more convenient to carry, and you don't need to worry about lower battery for your phone. Charge to your phone anytime and anywhere. <br>    DURABLE AND WATERPROOF WEEKENDER BACKPACK: BANGE backpack is made of high quality water resistant Oxford cloth. It is durable and anti-scratch. It's your best partner in your casual use. <br>    LIGHTWEIGHT AND COMFORTABLE MEN BACKPACK:Very light weight to carry. Shoulder strap and back are made of breathable mesh padded that can provide you all day comfort.; Multi STORAGE POCKETS:Front side pocket is convenient for various small items. Large compartment is great for 15.6"" laptop?camera?power bank?water bottle?Notebook?pens. <br>    ULTIMATE CUSTOMER SERVICE: Every travel backpack was passed multiple strict quality control. But if you have any problems, please feel free to contact us, we provide Lifetime Warranty Service. <br>    Lining Description: Polyester; Style Name: Travel Backpacks; Age Range Description: Adult; Pattern Name: Solid; Closure Type: Zipper <br>    
",B0B9WX3QD8,unknown,Encon Impex Pvt Ltd
314,"   Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend.    Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls    Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.    Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit.    Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only.    
",B07QL8633G," 
",AirCase
315,"   SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort    COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women    PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm    BACK SUPPORT: We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily.    OTHER FEATURES: Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.    
",B0BQFVH29F," 
 Introducing the ultimate laptop backpack designed for maximum safety and comfort. Made with durable, water-resistant materials, this backpack keeps your laptop protected from the elements and accidental spills. The padded laptop compartment fits most laptops up to 17 inches, and is specially designed with shock-absorbing foam to keep your device secure and safe from bumps and drops. The backpack also features padded shoulder straps and a padded back panel for added comfort during long commutes or trips. The adjustable shoulder strap helps to distribute the weight evenly across your body, reducing strain on your shoulders and back. In addition to the laptop compartment, the backpack has plenty of room for all of your other essentials, including books, documents, and personal items. The organizer pockets and key clip keep your items organized and easily accessible. Whether you're commuting to work or hitting the trails, this laptop backpack is the perfect choice for keeping your device safe and secure, while also providing maximum comfort on the go. So, it is an ideal choice for people who are looking for a laptop backpack that is both safe and comfortable.  ",Amazing Bags
316,"   Material: Pu Leather , Color : Light Brown , Dimensions: 37x 27x7 cm, To analyse the size accurately, kindly read the dimension and check with any scale available to you before placing order.<br><br>    Elegant look and high quality PU leather Ultra-soft felt, Long Lasting durable fabric With Zipper Closure and handle.; Compartments : 1 main zipper compartment & 1 inner compartment &1 inner Laptop compartment.<br><br>    The messenger bag features a wide shoulder strap that eliminates shoulder fatigue. The bag can be carried by the handle, worn on shoulders, and positioned across body.<br><br>    This computer bag fits laptops to 14 inches. Ideal for Professionals/Office going Men & Women. Slim, compact in size suitable for carrying business as well as day to day items like tablet, laptop, charger, phone, battery bank, pen, diary, visiting cards, keys etc.<br>; Outer Material Type: Faux Leather; Inner Material Type: Polyester Fabric<br>    Style Name: Shoulder Bag    
› See more product details ",unknown,unknown,unknown
317,"   Outer Material: Polyester, Color: Tur. Blue    Water resistant    Capacity: 23 liters; Dimensions: 33 cms x 15 cms x 47 cms (LxWxH)    Number of compartments: 2    Laptop Compatibility: Yes, Laptop Size: 15 inches    Warranty type: Manufacturer; 1 year    PACKER: Brand Concepts Ltd; IMPORTER: Brand Concepts Ltd    
",B07N8HPP97," 
",Brand Concepts Ltd
318,"   Care Instructions: Wipe with Damp Cloth    Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.    Handcrafted with care and made up of premium quality robust material    Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    
",B0BR1D4SL1," 
",Acefour Accessories Pvt. Ltd.
319,"   Care Instructions: Wipe with Damp Cloth    Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.    Handcrafted with care and made up of premium quality robust material    Padded anti-theft laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Pocket under flap and 2 mesh pocket inside main compartment with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    
",B0BR1C59R8," 
",Acefour Accessories Pvt. Ltd.
320,"   Ideal for a working professional travelling to work by bus, train, ola/uber/cab etc. Laptop compatibility & professional looking backpack    
",B09ZV9SLBJ," 
 Ideal for a working professional travelling to work by bus, train, ola/uber/cab etc. Laptop compatibility & professional looking backpack  ","VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
321,"   ✅DIMENSIONS: 31 Cm x 22 Cm x 45 Cm, CAPACITY: 32 Litres    ✅NUMBER OF COMPARTMENTS: 3 full size compartments & 2 side pockets, LAPTOP COMPARTMENT: Padded laptop compartment with elasticated strap lock, LAPTOP SIZE: 13 to 15.6 inches    ✅MATERIAL: Polyester, Water Resistant, COLOR: Navy Blue    ✅SPECIAL FEATURES: Ergonomic design, lightweight, padded breathable mesh back with adjustable straps, smooth & durable zippers, padded haul loop, 2 bottle/ umbrella easy access pockets    ✅CONSUMER: Suitable for men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks, WARRANTY: 12 Months, Make in India product    
",POLESTAR,unknown,: ‎ 13 March 2019
322,"   2 Compartment with laptop sleeve (Up to 18 inch) with comprehensive pen-accessories organizer one zip pocket.    2 Exterior Pocket and 2 side mesh bottle holder.    Adjustable Shoulder Strip    Foam Padded Straps    Size-(Hxlxw) Cm-(49x34x19) Cm    
",Uber Fashion Merchandise Pvt. Ltd.," 
 A fashionable Art- leather 18 Inch laptop backpack. This full-featured pack makes space for everything essential with multiple zip pockets on the exterior, plus a ready-to-go interior with padded laptop compartment and other storage solutions.  ",: ‎ 9 May 2017
323,"   Fit Type: Relaxed    Multipurpose Trendy Backpack : A stylish backpack for men and women for regular travelling and tour trips. The large backpack comes with a LAPTOP SLEEVE inside the main compartment. It has got several buckles, straps and convenient pockets that make it suitable for adjusting a lot of travel stuff inside this large trekking rucksack bag. This backpack bag will facilitate you in all your travel, camping and hiking trips.    Dedicated Shoe Compartment : Introducing our versatile travel backpack, designed for camping and long travel. Equipped with a spacious shoe compartment, you can bring along a pair of shoes without sacrificing valuable space in the bag. This bag also features multiple compartments for storing travel accessories. The ultimate choice for any discerning traveler.    Durable & Long Lasting : Introducing our weather-resistant trekking backpack, built with durable materials to withstand any weather condition. Keep your belongings safe with ease, thanks to its sturdy design and protective features such as a padded shoulder strap and air mesh padded back panel. Ideal for outdoor adventures and everyday use.    Stylish & Trendy Looks : Our spacious 70 x 36 x 25 Cm backpack is the ultimate gear for any adventure, from hiking to mountaineering. With its stylish design, this luggage bag is perfect for the modern bike rider and air travel. The smart and audacious combination of colors and design will make you stand out on any trip.    Integrated Rain Cover : Our travel bag is a must-have for any outdoor adventurer or everyday traveler. Made with water-resistant fabric and equipped with a waterproof integrated rain cover, your belongings will stay safe and dry in any weather. Featuring durable YKK zippers and premium buckles, this rucksack bag is built to last. Buy with confidence, this travel bag comes with 1 year warranty.    
",B08PD87QWP,unknown,TRAWOC
324,"   Look what's in store for you! A mini bag that's here to create a mega impact with a maxi dose of style! The bag opens to a quick access interior for your top, most wanted essentials! Grab it by the twin top handles or slay it in style like a cross body sling! Dual carry mini bag Size XS Chrome yellow exterior Smooth finish Stylish gold trinket puller 1 main compartment Double top handles Long adjustable handle Zipper closure Back zipper Cruelty-free premium material 6 months warranty Made in India Leading fashion handbag brand since 30 years    
",B09X72S4ZS," 
 Look what's in store for you! A mini bag that's here to create a mega impact with a maxi dose of style! The bag opens to a quick access interior for your top, most wanted essentials! Grab it by the twin top handles or slay it in style like a cross body sling! Dual carry mini bag Size XS Chrome yellow exterior Smooth finish Stylish gold trinket puller 1 main compartment Double top handles Long adjustable handle Zipper closure Back zipper Cruelty-free premium material 6 months warranty Made in India Leading fashion handbag brand since 30 years  ",Baggit India Pvt Ltd
325,"   SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort    COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women    PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm    BACK SUPPORT: We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily.    OTHER FEATURES: Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.    
",B0BR149RMT,unknown,Amazing Bags
326,"   Outer Material: Polyester, Color: Black    Waterproof    Capacity: 36 liters; Weight: 950 grams; Dimensions: 35 cms x 23 cms x 48 cms (LxWxH)    Number of Wheels: 0, Number of compartments: 2    Laptop Compatibility: Yes, Laptop Size: 17 inchesStrap Type: Adjustable    Warranty type: Manufacturer; 1 year manufacturer warranty is non-transferable and valid for 1 year from the original date of purchase    Hidden Secret Pocket at back    
   USB charging port that offers the convenience of charging your mobile on the go Water Proof with attached Rain cover.   Show More  ",B07XMLCYTH," 
 This F Gear Millionaire laptop backpack is designed with USB charging port that offers the convenience of charging your mobile on the go and Reflective printing along with inbuilt rain cover in a concealed pocket makes it most adapted for rainy conditions. This amazingly designed backpack has a hidden security pocket at the back which makes you far away from theft and protects your wallet, phone and other valuables. Apart from this there are also 2 huge compartments with laptop sleeve and tab sleeves, 3 pockets at the front with detailed organizer and interior two zip pockets and two side mesh bottle holders. Large capacity multi-compartment bag - Featuring a judicial selection of style and functionality, the offered backpack has multiple storage compartments which can be used for hassle-free and organized storage of laptops, tab, mobile phone, charger, clothes, pens, keys, bottles, books, documents, umbrella, etc. Carry anywhere, everywhere - no matter whether you count yourself among school or college-going youth or a daily commuter, this amazingly designed backpack is convenient for business, College, weekend getaways, travelling and all sorts of outdoor activities. Air mesh padding at the back panel and shoulder straps for utmost comfort. It provides the perfect amount of space for all your weekend essentials.  ",Uber Fashion Merchandise Pvt. Ltd.
